,0.4,0.8,1.2,1.6,2.0
380.4,1.779112535,1.691667526,1.605495179,1.455156426,0.3621885672
381.2,1.838865623,1.758862223,1.654628184,1.48642616,0.3709079187
382.0,2.059826587,1.883159555,1.739339843,1.545857667,0.3870972286
382.8,2.028226675,1.9557562,1.788177377,1.572872428,0.4026156411
383.6,2.040878769,1.984293792,1.83545832,1.604300777,0.4189453821
384.4,2.04975853,2.083159263,1.894349548,1.644080081,0.4344086882
385.2,2.089914596,2.17441929,1.938581629,1.693056568,0.4501199608
386.0,2.166063423,2.2423823,1.969288518,1.736645162,0.4647463859
386.8,2.196164835,2.176435033,1.993080326,1.757171285,0.4792506459
387.6,2.234789105,2.147060316,2.038331495,1.790944726,0.4945853628
388.4,2.263999974,2.209435881,2.111140104,1.824904669,0.507573668
389.2,2.28251554,2.267327369,2.148263035,1.873205965,0.5178937707
390.0,2.306598453,2.363396617,2.200745599,1.898754652,0.5228755153
390.8,2.319989812,2.365727725,2.202134136,1.922895717,0.5245526389
391.6,2.369295551,2.397627516,2.227828056,1.932655563,0.5224696203
392.4,2.367486225,2.403893015,2.214654787,1.947702447,0.5170362843
393.2,2.363491537,2.386209364,2.21812127,1.943940829,0.5087140548
394.0,2.352794429,2.403276659,2.224686783,1.94209674,0.4983067239
394.8,2.40318309,2.419926139,2.240143194,1.932152283,0.4855345451
395.6,2.439488741,2.436405603,2.224474396,1.923772873,0.4718054029
396.4,2.479222494,2.395095103,2.211812234,1.914264381,0.4574053135
397.2,2.438469891,2.423413936,2.196040917,1.904762036,0.4431740823
398.0,2.434822498,2.429351832,2.198024575,1.903841089,0.4294536622
398.8,2.386503724,2.440258522,2.17077631,1.893663288,0.4167720504
399.6,2.37618096,2.411782795,2.182852968,1.877409838,0.4048064303
400.4,2.361460834,2.421571066,2.180337501,1.862960455,0.393817639
401.2,2.380704943,2.440824439,2.202069133,1.852000388,0.3833136541
402.0,2.386222814,2.451330521,2.178692061,1.848626353,0.3739498709
402.8,2.355422092,2.434003568,2.168835722,1.839387093,0.3653067958
403.6,2.36207517,2.428350749,2.163793215,1.838510366,0.3572935858
404.4,2.371075974,2.440992827,2.170619325,1.831975405,0.3501044419
405.2,2.384114794,2.453922604,2.154241595,1.828116685,0.342878948
406.0,2.386047576,2.479162495,2.151872737,1.819267697,0.3365399679
406.8,2.375839305,2.421243595,2.134995449,1.813798748,0.3306619812
407.5,2.392923238,2.414125137,2.146871869,1.801734415,0.3250945738
408.3,2.364111256,2.366955538,2.130983853,1.802661707,0.319703095
409.1,2.372192494,2.387202774,2.127411948,1.799080644,0.3145208612
409.9,2.376348153,2.361175092,2.123326797,1.799119642,0.3100960542
410.7,2.400026801,2.391062637,2.120833085,1.785996388,0.305529012
411.5,2.414453005,2.39704514,2.116739721,1.779846979,0.3011905715
412.3,2.418066594,2.429402314,2.113945278,1.766741991,0.2965668657
413.1,2.408871694,2.403729625,2.11819453,1.762228147,0.2923384072
413.9,2.385610293,2.39133721,2.11369192,1.755055754,0.2888158215
414.7,2.367831832,2.384534533,2.096275249,1.754420802,0.2855235605
415.5,2.370327614,2.406469961,2.087798426,1.747312578,0.2822286164
416.3,2.382634062,2.408588256,2.080857083,1.742824854,0.2787460305
417.1,2.396715916,2.408352047,2.077339343,1.738283009,0.2753346507
417.9,2.39186163,2.39105833,2.071444525,1.732603981,0.2723769277
418.7,2.402869893,2.391283097,2.076440894,1.728355043,0.2691816586
419.5,2.404023095,2.396662427,2.076774604,1.722620741,0.2661106174
420.3,2.405013251,2.41872525,2.075039974,1.714549471,0.26290625
421.1,2.372409372,2.411049538,2.065563902,1.699261967,0.2597764015
421.9,2.369332345,2.423067055,2.06101706,1.684058748,0.2570753128
422.7,2.371209274,2.430059609,2.046054163,1.674673142,0.254262196
423.5,2.362729265,2.40756589,2.026629858,1.665165388,0.2515678491
424.3,2.354512447,2.366190353,2.015464051,1.658899261,0.2485077514
425.1,2.331979739,2.324183066,2.006327308,1.647245938,0.2458299043
425.9,2.340044733,2.332626951,1.997604803,1.63936149,0.2437815425
426.7,2.31018914,2.320476044,1.990196812,1.63087539,0.2420299813
427.5,2.315892481,2.323836399,1.979130575,1.62569358,0.2403483889
428.3,2.312744163,2.310509406,1.96458445,1.615794255,0.2387485857
429.1,2.325975877,2.306017726,1.953218154,1.608335983,0.2375152256
429.9,2.304386281,2.298520922,1.943108049,1.598809831,0.2363013833
430.7,2.282945203,2.284333841,1.938968156,1.593514689,0.235254226
431.5,2.275521406,2.290587461,1.931855005,1.585343585,0.234064434
432.3,2.281984343,2.279057505,1.928671693,1.579126253,0.2339991716
433.1,2.284866387,2.271437357,1.921609907,1.569737404,0.2334275814
433.9,2.268861433,2.253737595,1.917924144,1.565052118,0.2330226086
434.7,2.265717539,2.247571481,1.904510079,1.559229828,0.2321383946
435.5,2.259762008,2.241009618,1.901383431,1.555776855,0.2319229147
436.3,2.25833484,2.234099322,1.889537145,1.54600239,0.231687295
437.1,2.235061457,2.225191766,1.884206015,1.537219269,0.2315490475
437.9,2.229861881,2.225721694,1.874998018,1.528958067,0.2311792493
438.7,2.219243449,2.214059319,1.862970286,1.521631231,0.2311268201
439.5,2.223903531,2.196753313,1.849321117,1.515618435,0.2312144857
440.3,2.221959887,2.194287057,1.841541814,1.511593307,0.2311130948
441.1,2.226883054,2.192467679,1.84162945,1.505186589,0.231423504
441.9,2.218016376,2.185296895,1.839268813,1.497841046,0.2315357606
442.7,2.193965328,2.161223193,1.825753302,1.485851201,0.2320247632
443.5,2.172323245,2.15917524,1.811917012,1.476601337,0.2319924769
444.3,2.162932402,2.151693818,1.797447081,1.470020704,0.2320770714
445.1,2.165568627,2.149155034,1.795127638,1.46740694,0.2326008054
445.9,2.159946106,2.140932343,1.796817547,1.464118754,0.2337956524
446.7,2.153037229,2.135644022,1.795764659,1.457087561,0.2348710137
447.5,2.145347171,2.127958296,1.784919745,1.449051051,0.2360463554
448.3,2.140149987,2.108629983,1.769043087,1.441781579,0.2375628816
449.1,2.133283856,2.099976636,1.760307131,1.434347395,0.2393089264
449.9,2.11667107,2.08172958,1.751315292,1.429935632,0.2407742108
450.7,2.110021327,2.076285314,1.744711383,1.424887469,0.2421856892
451.5,2.102328876,2.072561224,1.737716693,1.423704252,0.2437818182
452.3,2.098552609,2.063003053,1.729002065,1.421557849,0.245574285
453.1,2.088377527,2.059121569,1.719090791,1.418430564,0.2475948412
453.9,2.082242898,2.046813961,1.718191954,1.411178367,0.2496282839
454.7,2.07398629,2.045457903,1.715040873,1.406232935,0.2517508521
455.5,2.07013786,2.029085973,1.710587018,1.40282157,0.2541729955
456.3,2.056660242,2.023881399,1.704744422,1.4029549,0.2566364517
457.0,2.064053567,2.017714662,1.706270384,1.398643829,0.2599123975
457.8,2.069942343,2.019756218,1.701492349,1.393797157,0.2628502593
458.6,2.073757493,2.011715802,1.693636254,1.390268852,0.2654215743
459.4,2.073245397,2.012201721,1.687438336,1.388766158,0.2681737943
460.2,2.068775329,2.013995935,1.683035058,1.388866844,0.2705570554
461.0,2.059002562,2.00680978,1.676299585,1.383790083,0.2735397483
461.8,2.051672757,1.999672944,1.668124274,1.380225687,0.2759295866
462.6,2.04663804,1.999278989,1.666582151,1.376660784,0.2781177961
463.4,2.054641418,1.99397614,1.664995582,1.380785147,0.2812893223
464.2,2.054570783,1.984619421,1.663672139,1.378909479,0.2845277018
465.0,2.042073646,1.979872905,1.65988873,1.376551992,0.288461457
465.8,2.044477792,1.988880197,1.661782357,1.371464185,0.2924770528
466.6,2.037577986,1.98372587,1.654290359,1.369689921,0.2962268453
467.4,2.035280763,1.968935188,1.646906734,1.369260634,0.3006500997
468.2,2.025065624,1.955873366,1.638607366,1.36868422,0.3040764656
469.0,2.011083539,1.950893268,1.637336919,1.365118964,0.3078354939
469.8,2.01178361,1.94883377,1.638326765,1.366649236,0.3113545352
470.6,2.008841101,1.951996251,1.637247657,1.365013829,0.3154814794
471.4,2.016792639,1.95894545,1.63654904,1.365091938,0.3198655527
472.2,2.017039242,1.951970766,1.634797746,1.361197233,0.3243725628
473.0,2.013395522,1.94982574,1.638480962,1.362238739,0.3293487785
473.8,2.003927379,1.939199271,1.635583269,1.363453867,0.3341115011
474.6,2.009966924,1.94741908,1.636832091,1.364487463,0.3382984768
475.4,2.004480695,1.943545806,1.628532074,1.361788772,0.3426236381
476.2,2.008720438,1.937222941,1.626475458,1.359111841,0.3476243447
477.0,1.993268666,1.922461466,1.625193511,1.358684737,0.3530020203
477.8,1.994458753,1.916747294,1.628372436,1.356628876,0.3579283194
478.6,1.993412544,1.916429178,1.622308806,1.354922924,0.3629144696
479.4,2.002142235,1.917706538,1.619233885,1.357508659,0.367939095
480.2,2.000405768,1.917266214,1.610247192,1.358159011,0.3735572992
481.0,1.997330997,1.927592751,1.6116468,1.360650115,0.3789945691
481.8,1.990843556,1.930747152,1.610113667,1.356644224,0.3847435666
482.6,1.984320768,1.931193925,1.610464509,1.358134864,0.3903089806
483.4,1.992631123,1.929018808,1.611370267,1.361549808,0.3970022988
484.2,1.991866712,1.93010754,1.604571297,1.363985079,0.4030473003
485.0,2.010099808,1.929247713,1.604815633,1.364686569,0.4093777342
485.8,2.007179857,1.92955429,1.602684474,1.364717744,0.4153621304
486.6,2.008090554,1.927047181,1.611860869,1.366148252,0.4222505722
487.4,2.002805434,1.929734581,1.618248096,1.371562704,0.4290704729
488.2,2.00568257,1.930894627,1.618451432,1.372334168,0.4358710585
489.0,2.015910242,1.938707332,1.618091792,1.377753057,0.4425412984
489.8,2.014982468,1.934968008,1.619721889,1.377970898,0.450092453
490.6,2.018355093,1.934491203,1.624966523,1.382633655,0.4572217225
491.4,2.017217783,1.938194701,1.626111242,1.38409393,0.4651521317
492.2,2.034536156,1.954326592,1.634690526,1.387139843,0.4722449935
493.0,2.042161566,1.96121971,1.637896023,1.392898929,0.4798782024
493.8,2.047832434,1.958318794,1.641961765,1.398874914,0.486671515
494.6,2.041040686,1.959228068,1.64494385,1.405599654,0.4938569676
